,sequences,sequence_tok
117,""" Dr Gale said that efforts continued to staunch infections in the prison system , with Parklea's outbreak growing to 80 in the latest numbers .","['""', 'Dr', 'Gale', 'said', 'that', 'efforts', 'continued', 'to', 'staunch', 'infections', 'in', 'the', 'prison', 'system', ',', 'with', ""Parklea's"", 'outbreak', 'growing', 'to', '80', 'in', 'the', 'latest', 'numbers', '.']"
118,"Utah health officials reported 1,598 new COVID-19 cases on Thursday .","['Utah', 'health', 'officials', 'reported', '1,598', 'new', 'COVID-19', 'cases', 'on', 'Thursday', '.']"
119,"In some people , particularly those 50 and older or who have weakened immune systems , West Nile virus can cause a serious and potentially fatal infection of the brain and spinal cord .","['In', 'some', 'people', ',', 'particularly', 'those', '50', 'and', 'older', 'or', 'who', 'have', 'weakened', 'immune', 'systems', ',', 'West', 'Nile', 'virus', 'can', 'cause', 'a', 'serious', 'and', 'potentially', 'fatal', 'infection', 'of', 'the', 'brain', 'and', 'spinal', 'cord', '.']"
120,Myocarditis is an inflammation of the heart muscle that can limit the organ's ability to pump blood and can cause changes in heartbeat rhythms .,"['Myocarditis', 'is', 'an', 'inflammation', 'of', 'the', 'heart', 'muscle', 'that', 'can', 'limit', 'the', ""organ's"", 'ability', 'to', 'pump', 'blood', 'and', 'can', 'cause', 'changes', 'in', 'heartbeat', 'rhythms', '.']"
121,"29 ( Xinhua ) Malaysia reported another 20,579 new COVID-19 infections , bringing the national total to 1,706,089 , the Health Ministry said on Sunday .","['29', '(', 'Xinhua', ')', 'Malaysia', 'reported', 'another', '20,579', 'new', 'COVID-19', 'infections', ',', 'bringing', 'the', 'national', 'total', 'to', '1,706,089', ',', 'the', 'Health', 'Ministry', 'said', 'on', 'Sunday', '.']"
122,"You can imagine the trauma for that other person who has now been hospitalised , Dr Chant said .","['You', 'can', 'imagine', 'the', 'trauma', 'for', 'that', 'other', 'person', 'who', 'has', 'now', 'been', 'hospitalised', ',', 'Dr', 'Chant', 'said', '.']"
123,"The Government said a further 92 people had died within 28 days of testing positive for Covid-19 as of Friday , bringing the UK total to 130,178 .","['The', 'Government', 'said', 'a', 'further', '92', 'people', 'had', 'died', 'within', '28', 'days', 'of', 'testing', 'positive', 'for', 'Covid-19', 'as', 'of', 'Friday', ',', 'bringing', 'the', 'UK', 'total', 'to', '130,178', '.']"
124,""" Four weeks working on a Covid ward makes stark the reality that the majority of our hospitalised Covid patients are unvaccinated and regret delaying .","['""', 'Four', 'weeks', 'working', 'on', 'a', 'Covid', 'ward', 'makes', 'stark', 'the', 'reality', 'that', 'the', 'majority', 'of', 'our', 'hospitalised', 'Covid', 'patients', 'are', 'unvaccinated', 'and', 'regret', 'delaying', '.']"
125,""" They will significantly improve our understanding of the dynamics of virus infection and of the immune response as well as provide valuable information to help with the ongoing design of vaccines and the development of anti - viral therapies .","['""', 'They', 'will', 'significantly', 'improve', 'our', 'understanding', 'of', 'the', 'dynamics', 'of', 'virus', 'infection', 'and', 'of', 'the', 'immune', 'response', 'as', 'well', 'as', 'provide', 'valuable', 'information', 'to', 'help', 'with', 'the', 'ongoing', 'design', 'of', 'vaccines', 'and', 'the', 'development', 'of', 'anti', '-', 'viral', 'therapies', '.']"
126,"Prof Linda Bauld , public health expert from the University of Edinburgh , said the UK's current position was "" a legacy of poor decisions that were taken when we eased restrictions "" .","['Prof', 'Linda', 'Bauld', ',', 'public', 'health', 'expert', 'from', 'the', 'University', 'of', 'Edinburgh', ',', 'said', 'the', ""UK's"", 'current', 'position', 'was', '""', 'a', 'legacy', 'of', 'poor', 'decisions', 'that', 'were', 'taken', 'when', 'we', 'eased', 'restrictions', '""', '.']"
127,"Doctors in Nigeria ’ s state - run hospitals have been on strike since Monday over poor salaries and dangerous working conditions , hindering authorities ’ attempts to fight Covid-19 and cholera .","['Doctors', 'in', 'Nigeria', '’', 's', 'state', '-', 'run', 'hospitals', 'have', 'been', 'on', 'strike', 'since', 'Monday', 'over', 'poor', 'salaries', 'and', 'dangerous', 'working', 'conditions', ',', 'hindering', 'authorities', '’', 'attempts', 'to', 'fight', 'Covid-19', 'and', 'cholera', '.']"
128,Polio does not respect borders and is spreading fast in the East African region putting children – particularly aged 5years and below – at the risk of contracting this incurable disease yet vaccine preventable disease .,"['Polio', 'does', 'not', 'respect', 'borders', 'and', 'is', 'spreading', 'fast', 'in', 'the', 'East', 'African', 'region', 'putting', 'children', '–', 'particularly', 'aged', '5years', 'and', 'below', '–', 'at', 'the', 'risk', 'of', 'contracting', 'this', 'incurable', 'disease', 'yet', 'vaccine', 'preventable', 'disease', '.']"
129,Dakota Datebook by Jack Dura Sources : The Bismarck Tribune .,"['Dakota', 'Datebook', 'by', 'Jack', 'Dura', 'Sources', ':', 'The', 'Bismarck', 'Tribune', '.']"
130,"Final results are expected in the next few days , the zoo said .","['Final', 'results', 'are', 'expected', 'in', 'the', 'next', 'few', 'days', ',', 'the', 'zoo', 'said', '.']"
131,"The extra funding will allow AHS to work with them to find ways that will make current staff more available , and deploy new staff in areas that need the most help .","['The', 'extra', 'funding', 'will', 'allow', 'AHS', 'to', 'work', 'with', 'them', 'to', 'find', 'ways', 'that', 'will', 'make', 'current', 'staff', 'more', 'available', ',', 'and', 'deploy', 'new', 'staff', 'in', 'areas', 'that', 'need', 'the', 'most', 'help', '.']"
132,"The Kiwis attend different universities across the States and met up with nine other friends at an Airbnb in Flagstaff , Arizona , for their summer break .","['The', 'Kiwis', 'attend', 'different', 'universities', 'across', 'the', 'States', 'and', 'met', 'up', 'with', 'nine', 'other', 'friends', 'at', 'an', 'Airbnb', 'in', 'Flagstaff', ',', 'Arizona', ',', 'for', 'their', 'summer', 'break', '.']"
133,"Also Friday , the B.C. Centre for Disease Control reported 33 new cases for Interior Health , along with 467 active cases , including 11 people in critical care.The death total is 145.The new cases pushed the region ’ s total to 11,622 since the pandemic began , with 11,010 having recovered .","['Also', 'Friday', ',', 'the', 'B.C.', 'Centre', 'for', 'Disease', 'Control', 'reported', '33', 'new', 'cases', 'for', 'Interior', 'Health', ',', 'along', 'with', '467', 'active', 'cases', ',', 'including', '11', 'people', 'in', 'critical', 'care.The', 'death', 'total', 'is', '145.The', 'new', 'cases', 'pushed', 'the', 'region', '’', 's', 'total', 'to', '11,622', 'since', 'the', 'pandemic', 'began', ',', 'with', '11,010', 'having', 'recovered', '.']"
134,"Updated at 5.05pm BST Hundreds of thousands of people have failed to come forward for their second Covid jab in England , official data shows .","['Updated', 'at', '5.05pm', 'BST', 'Hundreds', 'of', 'thousands', 'of', 'people', 'have', 'failed', 'to', 'come', 'forward', 'for', 'their', 'second', 'Covid', 'jab', 'in', 'England', ',', 'official', 'data', 'shows', '.']"
135,"If someone you know is at immediate risk , call 24-hour emergency medical services .","['If', 'someone', 'you', 'know', 'is', 'at', 'immediate', 'risk', ',', 'call', '24-hour', 'emergency', 'medical', 'services', '.']"
136,"Follow all the dayâ s news * Restrictions : NSW ; Vic ; Qld ; borders * Hotspots : NSW ; Vic ; Qld * Vaccine rollout tracker ; get our free news app ; get our morning email briefing 2.39am BST Back in Victoria , premier Daniel Andrews is asked how he would categorise the upwards trend of cases .","['Follow', 'all', 'the', 'dayâ', 's', 'news', '*', 'Restrictions', ':', 'NSW', ';', 'Vic', ';', 'Qld', ';', 'borders', '*', 'Hotspots', ':', 'NSW', ';', 'Vic', ';', 'Qld', '*', 'Vaccine', 'rollout', 'tracker', ';', 'get', 'our', 'free', 'news', 'app', ';', 'get', 'our', 'morning', 'email', 'briefing', '2.39am', 'BST', 'Back', 'in', 'Victoria', ',', 'premier', 'Daniel', 'Andrews', 'is', 'asked', 'how', 'he', 'would', 'categorise', 'the', 'upwards', 'trend', 'of', 'cases', '.']"
137,Arizona is the 13th U.S. state to hit that level of cases after reporting its first case in January of last year .,"['Arizona', 'is', 'the', '13th', 'U.S.', 'state', 'to', 'hit', 'that', 'level', 'of', 'cases', 'after', 'reporting', 'its', 'first', 'case', 'in', 'January', 'of', 'last', 'year', '.']"
138,"China reopens Meishan Terminal at Ningbo - Zhoushan Port The Meishan terminal at the Ningbo - Zhoushan Port in eastern China the world's third busiest marine transportation hub is back in operation after two weeks of closure amid a fresh COVID outbreak , reported Zhejiang Daily [ . ]","['China', 'reopens', 'Meishan', 'Terminal', 'at', 'Ningbo', '-', 'Zhoushan', 'Port', 'The', 'Meishan', 'terminal', 'at', 'the', 'Ningbo', '-', 'Zhoushan', 'Port', 'in', 'eastern', 'China', 'the', ""world's"", 'third', 'busiest', 'marine', 'transportation', 'hub', 'is', 'back', 'in', 'operation', 'after', 'two', 'weeks', 'of', 'closure', 'amid', 'a', 'fresh', 'COVID', 'outbreak', ',', 'reported', 'Zhejiang', 'Daily', '[', '.', ']']"
139,"Dr . Alex Wong , an infectious diseases doctor at Regina General Hospital , says the current state of COVID-19 in Saskatchewan is , in a word , "" bad .","['Dr', '.', 'Alex', 'Wong', ',', 'an', 'infectious', 'diseases', 'doctor', 'at', 'Regina', 'General', 'Hospital', ',', 'says', 'the', 'current', 'state', 'of', 'COVID-19', 'in', 'Saskatchewan', 'is', ',', 'in', 'a', 'word', ',', '""', 'bad', '.']"
140,"One flight is Wellington - bound , one is Christchurch - bound .","['One', 'flight', 'is', 'Wellington', '-', 'bound', ',', 'one', 'is', 'Christchurch', '-', 'bound', '.']"
141,"Of the 239 locally acquired cases recorded in the 24 hours to 8pm on Saturday , 115 are linked to a known case or cluster - 92 are household contacts and 23 are close contacts .","['Of', 'the', '239', 'locally', 'acquired', 'cases', 'recorded', 'in', 'the', '24', 'hours', 'to', '8pm', 'on', 'Saturday', ',', '115', 'are', 'linked', 'to', 'a', 'known', 'case', 'or', 'cluster', '-', '92', 'are', 'household', 'contacts', 'and', '23', 'are', 'close', 'contacts', '.']"
142,"Morrison also said there would be a "" significant impact "" on GDP figures that will be published in early September , although he said advice from Australia's central bank suggested the toll would be mitigated in the following quarter .","['Morrison', 'also', 'said', 'there', 'would', 'be', 'a', '""', 'significant', 'impact', '""', 'on', 'GDP', 'figures', 'that', 'will', 'be', 'published', 'in', 'early', 'September', ',', 'although', 'he', 'said', 'advice', 'from', ""Australia's"", 'central', 'bank', 'suggested', 'the', 'toll', 'would', 'be', 'mitigated', 'in', 'the', 'following', 'quarter', '.']"
143,COVID-19 vaccines are recommended in pregnancy .,"['COVID-19', 'vaccines', 'are', 'recommended', 'in', 'pregnancy', '.']"
144,"' "" She said the doctors got the message.Shortly after the meeting , they began administering prednisone , a steroid typically used to suppress the immune system and decrease inflammation in conditions such as asthma .","[""'"", '""', 'She', 'said', 'the', 'doctors', 'got', 'the', 'message.Shortly', 'after', 'the', 'meeting', ',', 'they', 'began', 'administering', 'prednisone', ',', 'a', 'steroid', 'typically', 'used', 'to', 'suppress', 'the', 'immune', 'system', 'and', 'decrease', 'inflammation', 'in', 'conditions', 'such', 'as', 'asthma', '.']"
145,"We are seeing elevated COVID-19 cases and this increase in cases does have an impact on our hospital services capacity and on services that are provided , "" said Bloemink .","['We', 'are', 'seeing', 'elevated', 'COVID-19', 'cases', 'and', 'this', 'increase', 'in', 'cases', 'does', 'have', 'an', 'impact', 'on', 'our', 'hospital', 'services', 'capacity', 'and', 'on', 'services', 'that', 'are', 'provided', ',', '""', 'said', 'Bloemink', '.']"
146,"Even COVID scientists don ’ t really know where this is going exactly , and I would say that a wave that is kicked off by school reopening could start now , but maybe it ’ ll fizzle .","['Even', 'COVID', 'scientists', 'don', '’', 't', 'really', 'know', 'where', 'this', 'is', 'going', 'exactly', ',', 'and', 'I', 'would', 'say', 'that', 'a', 'wave', 'that', 'is', 'kicked', 'off', 'by', 'school', 'reopening', 'could', 'start', 'now', ',', 'but', 'maybe', 'it', '’', 'll', 'fizzle', '.']"
147,"Rienthong and volunteers held a small ceremony on the occasion of King Maha Vajiralongkorn's 69th birthday to unofficially inaugurate their third field hospital named "" Tai Rom Prabaramee "" , which means "" under the glory of His Majesty "" .","['Rienthong', 'and', 'volunteers', 'held', 'a', 'small', 'ceremony', 'on', 'the', 'occasion', 'of', 'King', 'Maha', ""Vajiralongkorn's"", '69th', 'birthday', 'to', 'unofficially', 'inaugurate', 'their', 'third', 'field', 'hospital', 'named', '""', 'Tai', 'Rom', 'Prabaramee', '""', ',', 'which', 'means', '""', 'under', 'the', 'glory', 'of', 'His', 'Majesty', '""', '.']"
148,"The number of people infected with the virus since the beginning of the pandemic has risen to 1,046,748 .","['The', 'number', 'of', 'people', 'infected', 'with', 'the', 'virus', 'since', 'the', 'beginning', 'of', 'the', 'pandemic', 'has', 'risen', 'to', '1,046,748', '.']"
149,""" Gao , who refused the BBC's requests for an interview , has told state media that the sequences were released as soon as possible , and that he never said publicly that there was no human - to - human transmission .","['""', 'Gao', ',', 'who', 'refused', 'the', ""BBC's"", 'requests', 'for', 'an', 'interview', ',', 'has', 'told', 'state', 'media', 'that', 'the', 'sequences', 'were', 'released', 'as', 'soon', 'as', 'possible', ',', 'and', 'that', 'he', 'never', 'said', 'publicly', 'that', 'there', 'was', 'no', 'human', '-', 'to', '-', 'human', 'transmission', '.']"
150,The entrepreneurs from Karachaevo - Cherkessia spoke about the activities of their organizations and expressed their readiness to cooperate with their Abkhaz counterparts .,"['The', 'entrepreneurs', 'from', 'Karachaevo', '-', 'Cherkessia', 'spoke', 'about', 'the', 'activities', 'of', 'their', 'organizations', 'and', 'expressed', 'their', 'readiness', 'to', 'cooperate', 'with', 'their', 'Abkhaz', 'counterparts', '.']"
151,The CDC warns people to take precautions when handling rodent infestations .,"['The', 'CDC', 'warns', 'people', 'to', 'take', 'precautions', 'when', 'handling', 'rodent', 'infestations', '.']"
152,"Bat - borne viruses are found all over the world , yet surveillance and sampling efforts have been patchy , says Han .","['Bat', '-', 'borne', 'viruses', 'are', 'found', 'all', 'over', 'the', 'world', ',', 'yet', 'surveillance', 'and', 'sampling', 'efforts', 'have', 'been', 'patchy', ',', 'says', 'Han', '.']"
153,"Besides , the Centre has also directed the states to monitor infections in children as schools reopen .","['Besides', ',', 'the', 'Centre', 'has', 'also', 'directed', 'the', 'states', 'to', 'monitor', 'infections', 'in', 'children', 'as', 'schools', 'reopen', '.']"
154,McConnell asks Biden for troops as Taliban seize Afghanistan . I think Afghanistan is lost .,"['McConnell', 'asks', 'Biden', 'for', 'troops', 'as', 'Taliban', 'seize', 'Afghanistan', '.', 'I', 'think', 'Afghanistan', 'is', 'lost', '.']"
155,Now we are in a situation where people who should have been safe have been put at risk .,"['Now', 'we', 'are', 'in', 'a', 'situation', 'where', 'people', 'who', 'should', 'have', 'been', 'safe', 'have', 'been', 'put', 'at', 'risk', '.']"
156,""" People are going to have to take expensive tests , there may be queuing at airports to go on holidays .","['""', 'People', 'are', 'going', 'to', 'have', 'to', 'take', 'expensive', 'tests', ',', 'there', 'may', 'be', 'queuing', 'at', 'airports', 'to', 'go', 'on', 'holidays', '.']"
157,"The agency reports attacks on health care , the looting and destruction of cold chain — the system used for storing vaccines correctly — and the general dangers posed by the warring parties has had a harmful impact on this life - saving operation .","['The', 'agency', 'reports', 'attacks', 'on', 'health', 'care', ',', 'the', 'looting', 'and', 'destruction', 'of', 'cold', 'chain', '—', 'the', 'system', 'used', 'for', 'storing', 'vaccines', 'correctly', '—', 'and', 'the', 'general', 'dangers', 'posed', 'by', 'the', 'warring', 'parties', 'has', 'had', 'a', 'harmful', 'impact', 'on', 'this', 'life', '-', 'saving', 'operation', '.']"
158,"COVID-19 has not just ravaged our health systems , it has fractured social protection programmes and destabilised our economies , she said , revealing that a new study from the Economic Commission on Latin America and the Caribbean ( ECLAC ) reported that more than seven million companies have closed amid the pandemic .","['COVID-19', 'has', 'not', 'just', 'ravaged', 'our', 'health', 'systems', ',', 'it', 'has', 'fractured', 'social', 'protection', 'programmes', 'and', 'destabilised', 'our', 'economies', ',', 'she', 'said', ',', 'revealing', 'that', 'a', 'new', 'study', 'from', 'the', 'Economic', 'Commission', 'on', 'Latin', 'America', 'and', 'the', 'Caribbean', '(', 'ECLAC', ')', 'reported', 'that', 'more', 'than', 'seven', 'million', 'companies', 'have', 'closed', 'amid', 'the', 'pandemic', '.']"
159,"9 Confederation Bridge - Drone Another two new cases of COVID-19 , and the federal government gives the operators of Confederation Bridge $ 2.87 million to make up for pandemic losses .","['9', 'Confederation', 'Bridge', '-', 'Drone', 'Another', 'two', 'new', 'cases', 'of', 'COVID-19', ',', 'and', 'the', 'federal', 'government', 'gives', 'the', 'operators', 'of', 'Confederation', 'Bridge', '$', '2.87', 'million', 'to', 'make', 'up', 'for', 'pandemic', 'losses', '.']"
160,27 to Sept .,"['27', 'to', 'Sept', '.']"
161,Our goal is to create a safe and engaging place for users to connect over interests and passions .,"['Our', 'goal', 'is', 'to', 'create', 'a', 'safe', 'and', 'engaging', 'place', 'for', 'users', 'to', 'connect', 'over', 'interests', 'and', 'passions', '.']"
162,Public Health stated on August 9 they received 8 results from Whole Genome Sequencing of COVID test samples and all results were the Delta Variant .,"['Public', 'Health', 'stated', 'on', 'August', '9', 'they', 'received', '8', 'results', 'from', 'Whole', 'Genome', 'Sequencing', 'of', 'COVID', 'test', 'samples', 'and', 'all', 'results', 'were', 'the', 'Delta', 'Variant', '.']"
163,1 between 9 p . m . and 10 p . m .,"['1', 'between', '9', 'p', '.', 'm', '.', 'and', '10', 'p', '.', 'm', '.']"
164,"Record COVID-19 deaths , ICU patients as Malaysia reports more than 14,000 new cases KUALA LUMPUR : Malaysia reported a record 207 deaths from COVID-19 on Monday ( Jul 26 ) , with the number of critically ill patients also reaching a new high .","['Record', 'COVID-19', 'deaths', ',', 'ICU', 'patients', 'as', 'Malaysia', 'reports', 'more', 'than', '14,000', 'new', 'cases', 'KUALA', 'LUMPUR', ':', 'Malaysia', 'reported', 'a', 'record', '207', 'deaths', 'from', 'COVID-19', 'on', 'Monday', '(', 'Jul', '26', ')', ',', 'with', 'the', 'number', 'of', 'critically', 'ill', 'patients', 'also', 'reaching', 'a', 'new', 'high', '.']"
165,", essentially on the grounds that the community at large has rights to public health that can outweigh an individual ’ s rights to personal liberty , has stood as precedent in such cases for more than 100 years and would likely be followed by courts in California and even today ’ s conservative Supreme Court , Greenberger said .","[',', 'essentially', 'on', 'the', 'grounds', 'that', 'the', 'community', 'at', 'large', 'has', 'rights', 'to', 'public', 'health', 'that', 'can', 'outweigh', 'an', 'individual', '’', 's', 'rights', 'to', 'personal', 'liberty', ',', 'has', 'stood', 'as', 'precedent', 'in', 'such', 'cases', 'for', 'more', 'than', '100', 'years', 'and', 'would', 'likely', 'be', 'followed', 'by', 'courts', 'in', 'California', 'and', 'even', 'today', '’', 's', 'conservative', 'Supreme', 'Court', ',', 'Greenberger', 'said', '.']"
166,""" The Chinese government told us that "" it takes a rigorous scientific process to determine if a new virus can be transmitted from person to person "" .","['""', 'The', 'Chinese', 'government', 'told', 'us', 'that', '""', 'it', 'takes', 'a', 'rigorous', 'scientific', 'process', 'to', 'determine', 'if', 'a', 'new', 'virus', 'can', 'be', 'transmitted', 'from', 'person', 'to', 'person', '""', '.']"
167,Scientists visited Fratrick ’ s property to catch mice since he got sick .,"['Scientists', 'visited', 'Fratrick', '’', 's', 'property', 'to', 'catch', 'mice', 'since', 'he', 'got', 'sick', '.']"
168,"Johnson said her sister strictly followed pandemic mitigation protocols , only leaving her home when necessary and always wearing a mask , cleaning her hands and disinfecting surfaces .","['Johnson', 'said', 'her', 'sister', 'strictly', 'followed', 'pandemic', 'mitigation', 'protocols', ',', 'only', 'leaving', 'her', 'home', 'when', 'necessary', 'and', 'always', 'wearing', 'a', 'mask', ',', 'cleaning', 'her', 'hands', 'and', 'disinfecting', 'surfaces', '.']"
169,"Red Cross teams were activated in four health zones : Musienene , Biena , Butembo and Katwa and engaged in the response to provide services such as infection prevention and control ( IPC ) , community mobilisation and awareness - raising , psychosocial support ( PSS ) and , if necessary , safe and dignified burials ( SDB ) .","['Red', 'Cross', 'teams', 'were', 'activated', 'in', 'four', 'health', 'zones', ':', 'Musienene', ',', 'Biena', ',', 'Butembo', 'and', 'Katwa', 'and', 'engaged', 'in', 'the', 'response', 'to', 'provide', 'services', 'such', 'as', 'infection', 'prevention', 'and', 'control', '(', 'IPC', ')', ',', 'community', 'mobilisation', 'and', 'awareness', '-', 'raising', ',', 'psychosocial', 'support', '(', 'PSS', ')', 'and', ',', 'if', 'necessary', ',', 'safe', 'and', 'dignified', 'burials', '(', 'SDB', ')', '.']"
170,"Fifty - eight cases , or about 18 per cent were in fully vaccinated individuals , while 32 were people who had only had one dose of a COVID-19 vaccine .","['Fifty', '-', 'eight', 'cases', ',', 'or', 'about', '18', 'per', 'cent', 'were', 'in', 'fully', 'vaccinated', 'individuals', ',', 'while', '32', 'were', 'people', 'who', 'had', 'only', 'had', 'one', 'dose', 'of', 'a', 'COVID-19', 'vaccine', '.']"
171,Share it with a friend ! .,"['Share', 'it', 'with', 'a', 'friend', '!', '.']"
172,"The Director said 132 patients recovered and were discharged in the last 24 hours and the total recoveries rose to 1,17,397 .","['The', 'Director', 'said', '132', 'patients', 'recovered', 'and', 'were', 'discharged', 'in', 'the', 'last', '24', 'hours', 'and', 'the', 'total', 'recoveries', 'rose', 'to', '1,17,397', '.']"
173,"Gardeners , farms and cooperatives need to sell 700 tons of longan a day , but collectors and distributors cannot access the growing areas because of Covid-19 restrictions .","['Gardeners', ',', 'farms', 'and', 'cooperatives', 'need', 'to', 'sell', '700', 'tons', 'of', 'longan', 'a', 'day', ',', 'but', 'collectors', 'and', 'distributors', 'cannot', 'access', 'the', 'growing', 'areas', 'because', 'of', 'Covid-19', 'restrictions', '.']"
174,"In a 2010 interview with the AFP news agency , White claimed he had special powers since the age of 12 . He has since claimed to have treated other Indian cricket stars , including Gautam Gambhir and Ashish Nehra .","['In', 'a', '2010', 'interview', 'with', 'the', 'AFP', 'news', 'agency', ',', 'White', 'claimed', 'he', 'had', 'special', 'powers', 'since', 'the', 'age', 'of', '12', '.', 'He', 'has', 'since', 'claimed', 'to', 'have', 'treated', 'other', 'Indian', 'cricket', 'stars', ',', 'including', 'Gautam', 'Gambhir', 'and', 'Ashish', 'Nehra', '.']"
175,"Also , anyone who visited Coles Fairy Meadow between 4.30pm and 5pm as well as 3 : 30pm to 4pm on Friday , September 10 , should get tested immediately and self - isolate until you get a negative result .","['Also', ',', 'anyone', 'who', 'visited', 'Coles', 'Fairy', 'Meadow', 'between', '4.30pm', 'and', '5pm', 'as', 'well', 'as', '3', ':', '30pm', 'to', '4pm', 'on', 'Friday', ',', 'September', '10', ',', 'should', 'get', 'tested', 'immediately', 'and', 'self', '-', 'isolate', 'until', 'you', 'get', 'a', 'negative', 'result', '.']"
176,"Farmers were also ordered to stop grazing pigs on open fields , and instead adopt zero grazing .","['Farmers', 'were', 'also', 'ordered', 'to', 'stop', 'grazing', 'pigs', 'on', 'open', 'fields', ',', 'and', 'instead', 'adopt', 'zero', 'grazing', '.']"
177,"About a fifth of Kentucky ’ s school districts have had to temporarily close since classes began last month because of coronavirus infections , an indication of the dire impact the most recent wave of the virus has had on the state .","['About', 'a', 'fifth', 'of', 'Kentucky', '’', 's', 'school', 'districts', 'have', 'had', 'to', 'temporarily', 'close', 'since', 'classes', 'began', 'last', 'month', 'because', 'of', 'coronavirus', 'infections', ',', 'an', 'indication', 'of', 'the', 'dire', 'impact', 'the', 'most', 'recent', 'wave', 'of', 'the', 'virus', 'has', 'had', 'on', 'the', 'state', '.']"
178,Australian Associated Press NSW records 415 new COVID-19 cases NSW has reported 415 new locally acquired cases of COVID-19 and four more people have died as the whole state continues in lockdown .,"['Australian', 'Associated', 'Press', 'NSW', 'records', '415', 'new', 'COVID-19', 'cases', 'NSW', 'has', 'reported', '415', 'new', 'locally', 'acquired', 'cases', 'of', 'COVID-19', 'and', 'four', 'more', 'people', 'have', 'died', 'as', 'the', 'whole', 'state', 'continues', 'in', 'lockdown', '.']"
179,"On Tuesday , the state had reported 3,131 Covid-19 cases and 70 fatalities .","['On', 'Tuesday', ',', 'the', 'state', 'had', 'reported', '3,131', 'Covid-19', 'cases', 'and', '70', 'fatalities', '.']"
180,"That we think in advance where bacteria might come into the products and how it can be combated , "" Leinonen said .","['That', 'we', 'think', 'in', 'advance', 'where', 'bacteria', 'might', 'come', 'into', 'the', 'products', 'and', 'how', 'it', 'can', 'be', 'combated', ',', '""', 'Leinonen', 'said', '.']"
181,"The Actual Number Of Infections May Be Higher Than What's Being Reported The CDC says the outbreak has spread across 29 states , with the most cases reported in Texas ( 81 ) , followed by Oklahoma ( 40 ) , Illinois ( 23 ) and Virginia ( 22 ) .","['The', 'Actual', 'Number', 'Of', 'Infections', 'May', 'Be', 'Higher', 'Than', ""What's"", 'Being', 'Reported', 'The', 'CDC', 'says', 'the', 'outbreak', 'has', 'spread', 'across', '29', 'states', ',', 'with', 'the', 'most', 'cases', 'reported', 'in', 'Texas', '(', '81', ')', ',', 'followed', 'by', 'Oklahoma', '(', '40', ')', ',', 'Illinois', '(', '23', ')', 'and', 'Virginia', '(', '22', ')', '.']"
182,Enjoy Reading !,"['Enjoy', 'Reading', '!']"
183,"It ’ s humbling to see people put this much faith in you as an artist , and it kills me to think I am letting them down .","['It', '’', 's', 'humbling', 'to', 'see', 'people', 'put', 'this', 'much', 'faith', 'in', 'you', 'as', 'an', 'artist', ',', 'and', 'it', 'kills', 'me', 'to', 'think', 'I', 'am', 'letting', 'them', 'down', '.']"
184,"All staff , students and visitors at the school that day are considered close contacts and must get tested and stay home until Tuesday , August 31 . 7.38am - In the face of recent criticism about communication with , and involvement of , Pasifika in the current outbreak , Sio said the Government's health reforms were about addressing inequities and that he did not dispute there were gaps in the system .","['All', 'staff', ',', 'students', 'and', 'visitors', 'at', 'the', 'school', 'that', 'day', 'are', 'considered', 'close', 'contacts', 'and', 'must', 'get', 'tested', 'and', 'stay', 'home', 'until', 'Tuesday', ',', 'August', '31', '.', '7.38am', '-', 'In', 'the', 'face', 'of', 'recent', 'criticism', 'about', 'communication', 'with', ',', 'and', 'involvement', 'of', ',', 'Pasifika', 'in', 'the', 'current', 'outbreak', ',', 'Sio', 'said', 'the', ""Government's"", 'health', 'reforms', 'were', 'about', 'addressing', 'inequities', 'and', 'that', 'he', 'did', 'not', 'dispute', 'there', 'were', 'gaps', 'in', 'the', 'system', '.']"
185,"The good news is that people infected in Provincetown , about three - quarters of whom were fully vaccinated , were , for the most part , not seriously ill ; no deaths were reported , and only seven people were hospitalized .","['The', 'good', 'news', 'is', 'that', 'people', 'infected', 'in', 'Provincetown', ',', 'about', 'three', '-', 'quarters', 'of', 'whom', 'were', 'fully', 'vaccinated', ',', 'were', ',', 'for', 'the', 'most', 'part', ',', 'not', 'seriously', 'ill', ';', 'no', 'deaths', 'were', 'reported', ',', 'and', 'only', 'seven', 'people', 'were', 'hospitalized', '.']"
186,""" In total , there have been a total of 82 new coronavirus cases in Long Eaton in a single week ( in the seven days to May 4 ) .","['""', 'In', 'total', ',', 'there', 'have', 'been', 'a', 'total', 'of', '82', 'new', 'coronavirus', 'cases', 'in', 'Long', 'Eaton', 'in', 'a', 'single', 'week', '(', 'in', 'the', 'seven', 'days', 'to', 'May', '4', ')', '.']"
187,Transmission was low in schools ( 1.2 % ; 9 secondary cases in 728 close contacts ) .,"['Transmission', 'was', 'low', 'in', 'schools', '(', '1.2', '%', ';', '9', 'secondary', 'cases', 'in', '728', 'close', 'contacts', ')', '.']"
188,2018 ; 67 ( 1 ) : 1-7 . doi : 10.1093/cid/ciy024 21.Society of Infectious Disease Pharmacists.Breakpoints .,"['2018', ';', '67', '(', '1', ')', ':', '1-7', '.', 'doi', ':', '10.1093/cid/ciy024', '21.Society', 'of', 'Infectious', 'Disease', 'Pharmacists.Breakpoints', '.']"
