,tweets_tok,ner_BIO_full,tweets_full_text,ner_BIO_full_text
379,"['So', 'apperently', 'there', 'is', 'a', 'dance', 'and', 'game', 'tonight', '.....', 'I', 'wonder', 'if', 'kierra', 'will', 'go', 'with', 'me', '-hinthint-', 'I', 'hope', 'she', 'gets', 'this', 'to', 'her', 'phone', 'e_e']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",So apperently there is a dance and game tonight ..... I wonder if kierra will go with me -hinthint- I hope she gets this to her phone e_e,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
380,"['@jenniehales', 'wat', 'u', 'up', 'to', 'tonite', '.', 'My', 'mob', ""won't"", 'let', 'me', 'txt', 'fs', '.', 'Xxx']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",@jenniehales wat u up to tonite . My mob won't let me txt fs . Xxx,O O O O O O O O O O O O O O O O
381,"['Ima', 'start', 'going', 'to', 'the', 'dr', 'once', 'a', 'month', 'so', 'I', 'get', 'my', 'moneys', 'worth']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Ima start going to the dr once a month so I get my moneys worth,O O O O O O O O O O O O O O O
382,"[""I've"", 'listened', 'to', 'Tenshi', 'ni', 'Fureta', 'yo', 'so', 'many', 'times', 'that', ""I'm"", 'starting', 'to', 'memorize', 'the', 'lyrics', ',', 'and', 'it', ""'s"", 'only', 'been', 'out', 'for', '4', 'days', '!', 'o', '.', 'O']","['O', 'O', 'O', 'B-other', 'I-other', 'I-other', 'I-other', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","I've listened to Tenshi ni Fureta yo so many times that I'm starting to memorize the lyrics , and it 's only been out for 4 days ! o . O",O O O B-other I-other I-other I-other O O O O O O O O O O O O O O O O O O O O O O O O
383,"['French', 'IV', 'embarrassed', 'me', 'today', '..', 'never', 'again', 'will', 'I', 'go', 'into', 'a', 'battle', 'unprepared', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",French IV embarrassed me today .. never again will I go into a battle unprepared .,O O O O O O O O O O O O O O O O
384,"['Getting', 'the', '10am', 'bus', 'tomorrow', '#thethingsido']","['O', 'O', 'O', 'O', 'O', 'O']",Getting the 10am bus tomorrow #thethingsido,O O O O O O
385,"['@iKutiePie', 'coolen', '..', 'i', 'aint', 'speak', 'to', 'my', 'lil', 'baby', 'all', 'day', '..', 'had', 'to', 'check', 'up', 'on', 'u']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",@iKutiePie coolen .. i aint speak to my lil baby all day .. had to check up on u,O O O O O O O O O O O O O O O O O O O
386,"['Whats', 'goin', 'on', '(', 'in', 'tally', ')', 'tonight', 'twitter', '!!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-company', 'O']",Whats goin on ( in tally ) tonight twitter !!,O O O O O O O O B-company O
387,"['Don', 'Mattingly', 'will', 'replace', 'Joe', 'Torre', 'as', 'LA', 'Dodgers', 'manager', 'after', 'this', 'season']","['B-person', 'I-person', 'O', 'O', 'B-person', 'I-person', 'O', 'B-sportsteam', 'I-sportsteam', 'O', 'O', 'O', 'O']",Don Mattingly will replace Joe Torre as LA Dodgers manager after this season,B-person I-person O O B-person I-person O B-sportsteam I-sportsteam O O O O
388,"['its', 'saturday', ';)', 'i', 'think', 'so', ':', 'L', '&lt;', '3', '&lt;', 'for', 'the', 'competition', 'xxxx', '(@PaigeLouiseRyan', 'live', 'on', 'http://twitcam.com/2237v', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",its saturday ;) i think so : L &lt; 3 &lt; for the competition xxxx (@PaigeLouiseRyan live on http://twitcam.com/2237v ),O O O O O O O O O O O O O O O O O O O O
389,"['hai', '@ayuhastari', 'sukses', 'ya', 'untuk', 'ngehostnya', 'today', 'di', 'inbox', ',', 'sy', 'gak', 'bisa', 'liat', 'nih', 'wajib', 'ngantor', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","hai @ayuhastari sukses ya untuk ngehostnya today di inbox , sy gak bisa liat nih wajib ngantor .",O O O O O O O O O O O O O O O O O O
390,"['Pick', 'up', 'here', '.', 'Deliver', 'on', 'Dayton', 'NJ', 'tomorrow', '(@', 'Ball', 'Metal', 'Container', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'B-geo-loc', 'I-geo-loc', 'O', 'O', 'B-company', 'I-company', 'I-company', 'O']",Pick up here . Deliver on Dayton NJ tomorrow (@ Ball Metal Container ),O O O O O O B-geo-loc I-geo-loc O O B-company I-company I-company O
391,"['I', 'just', 'took', '""', 'After', 'getting', 'trampled', 'at', 'a', 'Justin', 'Bieber', 'concert', ',', 'yoiu', 'wake', 'up', 'and', '...""', 'and', 'got', ':', 'Part', '6', ':)', '!', 'Try', 'it', ':', 'http://tinyurl.com/233u5lu']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","I just took "" After getting trampled at a Justin Bieber concert , yoiu wake up and ..."" and got : Part 6 :) ! Try it : http://tinyurl.com/233u5lu",O O O O O O O O O B-person I-person O O O O O O O O O O O O O O O O O O
392,"['Castle', 'goes', 'down', ',', 'Murkowski', 'goes', 'write-in', '.', 'Probably', 'not', 'the', 'NRSC', ""'s"", 'best-ever', 'week', '.']","['B-person', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'B-other', 'O', 'O', 'O', 'O']","Castle goes down , Murkowski goes write-in . Probably not the NRSC 's best-ever week .",B-person O O O B-person O O O O O O B-other O O O O
393,"['I', 'just', 'remembered', 'this', 'week', 'is', 'The', 'Heatwave', '7th', 'birthday', '...', 'meant', 'to', 'make', 'tonight', ""'s"", 'Brixton', 'bashment', 'our', 'birthday', 'party', 'but', 'I', 'forgot', 'LOL']","['O', 'O', 'O', 'O', 'O', 'O', 'B-facility', 'I-facility', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo-loc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",I just remembered this week is The Heatwave 7th birthday ... meant to make tonight 's Brixton bashment our birthday party but I forgot LOL,O O O O O O B-facility I-facility O O O O O O O O B-geo-loc O O O O O O O O
394,"['RT', '@jaye403', ':', '@BlackCanseco', 'you', 'know', 'it', 'is', 'funny', 'how', 'those', 'ppl', 'want', 'their', 'heros', 'remembered', '...', 'when', 'the', 'truth', 'is', 'are', 'less', 'than', 'worthy']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",RT @jaye403 : @BlackCanseco you know it is funny how those ppl want their heros remembered ... when the truth is are less than worthy,O O O O O O O O O O O O O O O O O O O O O O O O O
395,"['@Loserface_Laura', 'when', 'mike', 'lets', 'me', 'know', ',', 'I', 'will', 'let', 'you', 'know', '.', 'I', 'mean', 'everyone', 'might', 'just', 'switch', 'out', 'a', 'lot', '.']","['O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","@Loserface_Laura when mike lets me know , I will let you know . I mean everyone might just switch out a lot .",O O B-person O O O O O O O O O O O O O O O O O O O O
396,"[""'RT"", '@amandacarolinne', ':', '""', 'Danger', 'Days', ':', 'The', 'True', 'Lives', 'Of', 'The', 'Fabulous', 'Killjoys', '""\'']","['O', 'O', 'O', 'O', 'B-other', 'I-other', 'I-other', 'I-other', 'I-other', 'I-other', 'I-other', 'I-other', 'I-other', 'I-other', 'O']","'RT @amandacarolinne : "" Danger Days : The True Lives Of The Fabulous Killjoys ""'",O O O O B-other I-other I-other I-other I-other I-other I-other I-other I-other I-other O
397,"['Engadget', ':', 'Sky', '3D', 'enlists', 'Stephen', 'Fry', 'to', 'explain', 'the', 'technology', 'ahead', 'of', 'its', 'October', '1', 'launch', '(', 'video)', ':', 'With', 'the', 'of', '...', 'http://bit.ly/abRALO']","['B-company', 'O', 'B-company', 'I-company', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Engadget : Sky 3D enlists Stephen Fry to explain the technology ahead of its October 1 launch ( video) : With the of ... http://bit.ly/abRALO,B-company O B-company I-company O B-person I-person O O O O O O O O O O O O O O O O O O
398,"['Tonight', '@AZUKARlounge', 'Baka', 'Boyz', 'LIVE', 'w/', 'DJ', 'Elements', '103.5', '&amp;', 'Soreal', '.', '$150', 'VIP', 'booths', 'tonight', '.', 'Text', '916.960', '.', '8120', 'for', 'NO', 'cover', 'glist', '!!']","['O', 'O', 'B-musicartist', 'I-musicartist', 'O', 'O', 'B-musicartist', 'I-musicartist', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tonight @AZUKARlounge Baka Boyz LIVE w/ DJ Elements 103.5 &amp; Soreal . $150 VIP booths tonight . Text 916.960 . 8120 for NO cover glist !!,O O B-musicartist I-musicartist O O B-musicartist I-musicartist O O O O O O O O O O O O O O O O O O
399,"['RT', '@DesignerDepot', ':', 'Minimalist', 'Web', 'Design', ':', 'When', 'Less', 'is', 'More', '-', 'http://ow.ly/2FwyX']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",RT @DesignerDepot : Minimalist Web Design : When Less is More - http://ow.ly/2FwyX,O O O O O O O O O O O O O
400,"['@MJay615', 'joining', 'the', 'awsm', 'before', ""I'm"", 'interested', 'to', 'see', 'what', ""they're"", 'bringing', 'to', 'it']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",@MJay615 joining the awsm before I'm interested to see what they're bringing to it,O O O O O O O O O O O O O O
401,"['I', 'just', 'took', '""', 'After', 'getting', 'trampled', 'at', 'a', 'Justin', 'Bieber', 'concert', ',', 'yoiu', 'wake', 'up', 'and', '...""', 'and', 'got', ':', 'Part', '6', ':)', '!', 'Try', 'it', ':', 'http://tinyurl.com/233u5lu']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","I just took "" After getting trampled at a Justin Bieber concert , yoiu wake up and ..."" and got : Part 6 :) ! Try it : http://tinyurl.com/233u5lu",O O O O O O O O O B-person I-person O O O O O O O O O O O O O O O O O O
402,"['RT', '@NAT3OH3', ':', 'VMB', 'awards', 'last', 'night', 'were', 'super', 'fun', '-', 'we', 'won', 'best', 'bossa', 'nova', 'act', '!', 'off', 'to', 'HSBC', 'center', 'to', 'soundcheck', 'for', 'epic', 'show', 'tonight', '..', '...']","['O', 'O', 'O', 'B-other', 'I-other', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-facility', 'I-facility', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",RT @NAT3OH3 : VMB awards last night were super fun - we won best bossa nova act ! off to HSBC center to soundcheck for epic show tonight .. ...,O O O B-other I-other O O O O O O O O O O O O O O O B-facility I-facility O O O O O O O O
403,"['photographing', 'the', 'midway', 'tonight', '..', 'should', 'be', 'fun', '..', 'lots', 'of', 'fun', 'lights', '!!', 'makes', 'for', 'great', 'photos', '..', 'like', 'this', 'one', '..', 'http://twitpic.com/2pdvsw']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",photographing the midway tonight .. should be fun .. lots of fun lights !! makes for great photos .. like this one .. http://twitpic.com/2pdvsw,O O O O O O O O O O O O O O O O O O O O O O O O
404,"['@urbanturbanguy', 'Ooh', ',', 'I', 'could', 'be', 'your', 'long', 'lost', 'Mexican', 'sister', 'for', 'this', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","@urbanturbanguy Ooh , I could be your long lost Mexican sister for this .",O O O O O O O O O O O O O O
405,"['Top', '10', 'Best', 'Personal', 'Finance', 'Books', 'of', 'All', 'Time', '!', '|', 'Personal', 'Finance', '...', 'http://bit.ly/cAEI7h']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Top 10 Best Personal Finance Books of All Time ! | Personal Finance ... http://bit.ly/cAEI7h,O O O O O O O O O O O O O O O
406,"['@MajorBerry', 'Praying', 'with', 'ya', 'that', 'he', 'answers', '&amp;', 'will', 'be', 'in', 'Sweden', ',', 'so', 'you', 'can', 'meet', 'him', '!', 'I', 'met', 'him', '3', 'weeks', 'ago', '&amp;', 'still', 'thinking', 'about', 'it', 'lol', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo-loc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","@MajorBerry Praying with ya that he answers &amp; will be in Sweden , so you can meet him ! I met him 3 weeks ago &amp; still thinking about it lol .",O O O O O O O O O O O B-geo-loc O O O O O O O O O O O O O O O O O O O O
407,"['The', 'Town', 'was', 'a', 'really', 'good', 'movie', '!!!', 'Now', 'passing', 'the', 'time', 'watching', '&quot;', 'Easy', 'A', '&quot;', 'until', '&quot;', 'Devil', '&quot;', 'starts', '!']","['B-movie', 'I-movie', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-movie', 'I-movie', 'O', 'O', 'O', 'B-movie', 'O', 'O', 'O']",The Town was a really good movie !!! Now passing the time watching &quot; Easy A &quot; until &quot; Devil &quot; starts !,B-movie I-movie O O O O O O O O O O O O B-movie I-movie O O O B-movie O O O
408,"['Football', 'game', 'tonight', ':)', 'yeeah', 'boilers', '..', 'oh', 'wait', ',', 'we', 'suck', '.', 'haha']","['O', 'O', 'O', 'O', 'O', 'B-sportsteam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","Football game tonight :) yeeah boilers .. oh wait , we suck . haha",O O O O O B-sportsteam O O O O O O O O
409,"['@', 'home', 'chilling', 'guess', 'I', ""'m"", 'staying', 'in', '2day', '2', 'rest', 'this', 'week', 'was', 'crazy', 'but', 'I', ""'m"", 'ready', 'for', 'dis', 'weekend']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",@ home chilling guess I 'm staying in 2day 2 rest this week was crazy but I 'm ready for dis weekend,O O O O O O O O O O O O O O O O O O O O O O
410,"['Are', 'you', 'ready', 'for', 'the', 'shield', 'game', 'tonight', 'at', '7', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Are you ready for the shield game tonight at 7 ?,O O O O O O O O O O O
411,"['@Emmas76', 'have', 'i', 'missed', 'anything', 'these', 'last', '2', 'weeks-', 'how', ""'s"", 'music', 'practice', 'going', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",@Emmas76 have i missed anything these last 2 weeks- how 's music practice going ?,O O O O O O O O O O O O O O O
412,"['I', 'have', 'made', 'the', 'tough', 'decisions', ',', 'always', 'with', 'an', 'eye', 'toward', 'the', 'bottom', 'line', '.', 'Perhaps', 'it', ""'s"", 'time', 'America', 'was', 'run', 'like', 'a', 'business', '.', 'Donald', 'Trump']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo-loc', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person']","I have made the tough decisions , always with an eye toward the bottom line . Perhaps it 's time America was run like a business . Donald Trump",O O O O O O O O O O O O O O O O O O O O B-geo-loc O O O O O O B-person I-person
413,"['RT', '@CHRIS_Daughtry', ':', ""We're"", 'playing', 'a', 'show', 'with', 'KISS', 'tomorrow', '.', ""Can't"", 'say', 'I', 'saw', 'that', 'coming', '5', 'years', 'ago', '...']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-musicartist', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",RT @CHRIS_Daughtry : We're playing a show with KISS tomorrow . Can't say I saw that coming 5 years ago ...,O O O O O O O O B-musicartist O O O O O O O O O O O O
414,"['@poscas', 'I', 'said', 'to', 'him', ""'"", 'the', 'impression', 'I', 'had', 'of', 'early', '80s', 'NYC', 'was', 'if', 'you', 'went', 'to', 'Central', 'Park', 'after', 'dark', ""you'd"", 'be', 'lucky', 'to', 'come', 'out', ""alive'...""]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo-loc', 'O', 'O', 'O', 'O', 'O', 'B-geo-loc', 'I-geo-loc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",@poscas I said to him ' the impression I had of early 80s NYC was if you went to Central Park after dark you'd be lucky to come out alive'...,O O O O O O O O O O O O O B-geo-loc O O O O O B-geo-loc I-geo-loc O O O O O O O O O
415,"['I', 'hate', 'that', 'mini', 'heart', 'attack', 'you', 'get', 'when', 'you', 'lose', 'your', 'phone', 'and', 'its', 'on', 'silent']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",I hate that mini heart attack you get when you lose your phone and its on silent,O O O O O O O O O O O O O O O O O
416,"['Coach', 'Germano', ',', 'Albin', ',', 'Haines', 'and', 'Burrow', 'each', 'had', 'home', 'damage', 'from', 'the', 'storm', 'yesterday', ',', 'according', 'to', '@JasonCorriher', '.']","['B-person', 'I-person', 'O', 'B-person', 'O', 'B-person', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","Coach Germano , Albin , Haines and Burrow each had home damage from the storm yesterday , according to @JasonCorriher .",B-person I-person O B-person O B-person O B-person O O O O O O O O O O O O O
417,"['&lt;', '3', '@CamrynRocks', 'always', 'brightens', 'up', 'my', 'day', '.', 'you', 'should', 'follow', 'her', 'and', 'listen', 'to', 'her', 'wonderful', 'music', '.', '&lt;', '3']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",&lt; 3 @CamrynRocks always brightens up my day . you should follow her and listen to her wonderful music . &lt; 3,O O O O O O O O O O O O O O O O O O O O O O
418,"['Really', 'wish', 'I', 'can', 'see', 'a', 'rocket', 'to', 'the', 'moon', 'today', '.', 'They', 'would', 'totally', 'make', 'my', 'day', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Really wish I can see a rocket to the moon today . They would totally make my day .,O O O O O O O O O O O O O O O O O O O
419,"['@alyaffair', 'Lol', ',', 'that', ""'s"", 'not', 'going', 'to', 'solve', 'your', 'problems', '.', 'When', 'you', 'sober', 'up', 'again', ',', ""they're"", 'going', 'to', 'back', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","@alyaffair Lol , that 's not going to solve your problems . When you sober up again , they're going to back .",O O O O O O O O O O O O O O O O O O O O O O O
420,"['anyway', 'tonight', 'was', 'awesome', 'but', '@cammieahch', 'left', 'really', 'early', ':/']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",anyway tonight was awesome but @cammieahch left really early :/,O O O O O O O O O O
421,"['Congrats', 'to', '@BigBlueSpruce', 'and', 'their', 'record', 'release', 'today', '!', 'Join', 'us', 'to', 'celebrate', 'with', 'them', 'at', '@worldcafelive', 'Get', 'your', 'CD', '&amp;', 'tees', '8PM', 'today', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Congrats to @BigBlueSpruce and their record release today ! Join us to celebrate with them at @worldcafelive Get your CD &amp; tees 8PM today !,O O O O O O O O O O O O O O O O O O O O O O O O O
422,"['going', 'now', 'guiseeeee', '...', 'if', 'i', 'dont', 'see', 'you', 'through', 'the', 'week', 'ill', 'see', 'you', 'through', 'the', 'window', ':)', ':)']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",going now guiseeeee ... if i dont see you through the week ill see you through the window :) :),O O O O O O O O O O O O O O O O O O O O
423,"['Thank', 'you', 'so', 'very', 'much', 'EVERYONE', 'for', 'the', 'lovely', 'Friday', 'Follows', 'today', '-', 'you', 'are', 'all', 'too', 'lovely', ':)', 'Sorry', ""I've"", 'not', 'had', 'time', 'to', 'reciprocate', 'xXx']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Thank you so very much EVERYONE for the lovely Friday Follows today - you are all too lovely :) Sorry I've not had time to reciprocate xXx,O O O O O O O O O O O O O O O O O O O O O O O O O O O
424,"['Why', 'is', 'twitter', 'dead', '?', 'Oh', 'yeah', ',', 'that', ""'s"", 'right', ',', 'other', 'people', 'have', 'lives', 'on', 'Friday', 'nights', '.']","['O', 'O', 'B-company', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","Why is twitter dead ? Oh yeah , that 's right , other people have lives on Friday nights .",O O B-company O O O O O O O O O O O O O O O O O
425,"['Jessica', 'Simpson', 'is', 'PREGNANT', '!?!:', 'Jessica', 'Simpson', 'is', 'pregnant', '??', 'Simpson', 'is', 'pregnant', 'with', 'her', 'barely', '4-month', 'boyfrien', '...', 'http://bit.ly/aoempS']","['B-person', 'I-person', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Jessica Simpson is PREGNANT !?!: Jessica Simpson is pregnant ?? Simpson is pregnant with her barely 4-month boyfrien ... http://bit.ly/aoempS,B-person I-person O O O B-person I-person O O O B-person O O O O O O O O O
426,"['I', 'like', '@SouljaBoy', 'songs', 'after', 'a', 'few', 'drinks']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",I like @SouljaBoy songs after a few drinks,O O O O O O O O
427,"['Spent', 'all', 'of', 'last', 'night', 'puking', ',', 'and', 'all', 'of', 'today', 'fretting', '.', 'Some', 'people', 'totally', 'fail', 'to', 'pick', 'up', 'the', 'slack', 'when', 'you', 'are', 'away', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","Spent all of last night puking , and all of today fretting . Some people totally fail to pick up the slack when you are away .",O O O O O O O O O O O O O O O O O O O O O O O O O O O
428,"['Apparently', '#turningpoint', 'has', 'a', 'hash-tag', '.', 'And', '@RoundhouseLDN', 'has', 'a', 'Twitter', 'account', '.', 'So', 'with', 'the', 'formalities', 'over', '...', 'see', 'you', 'tomorrow', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-company', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Apparently #turningpoint has a hash-tag . And @RoundhouseLDN has a Twitter account . So with the formalities over ... see you tomorrow .,O O O O O O O O O O B-company O O O O O O O O O O O O
429,"['Greek', 'Festival', 'at', 'St', 'Johns', 'before', 'ASPEN']","['B-other', 'I-other', 'O', 'B-geo-loc', 'I-geo-loc', 'O', 'B-geo-loc']",Greek Festival at St Johns before ASPEN,B-other I-other O B-geo-loc I-geo-loc O B-geo-loc
430,"['@The_TDawson', 'what', 'were', 'yu', 'talking', 'about', 'yesterday', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",@The_TDawson what were yu talking about yesterday ?,O O O O O O O O
431,"['ahhh', 'yes', ',', 'a', 'friday', ':)', 'just', 'chilled', 'with', 'madison', '!', '&lt;', '3']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O']","ahhh yes , a friday :) just chilled with madison ! &lt; 3",O O O O O O O O O B-person O O O
432,"['@BEE_LYNN_BAYBEE', 'Funniest', 'shit', 'of', 'the', 'day', '""', 'Im', 'officially', 'blown', '.', 'Dont', 'wanna', 'to', 'talk', 'about', 'it', '""', 'lls']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","@BEE_LYNN_BAYBEE Funniest shit of the day "" Im officially blown . Dont wanna to talk about it "" lls",O O O O O O O O O O O O O O O O O O O
433,"['RT', '@TomsTop5', ':', 'Check', 'us', 'out', '-', 'we', ""'re"", 'FEATURED', 'on', 'iTunes', 'this', 'week', '!', 'Make', 'sure', 'to', 'subscribe', 'so', 'Jobs', 'knows', 'you', 'love', 'us', 'http://twitpic.com/2pdr8h']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",RT @TomsTop5 : Check us out - we 're FEATURED on iTunes this week ! Make sure to subscribe so Jobs knows you love us http://twitpic.com/2pdr8h,O O O O O O O O O O O O O O O O O O O O O O O O O O
434,"['#FF', '@Ashley_Akalei', 'Love', 'her', '.', 'She`s', 'a', 'sweetie', 'when', 'she`s', 'in', 'a', 'good', 'mood', '.', 'Lol', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",#FF @Ashley_Akalei Love her . She`s a sweetie when she`s in a good mood . Lol .,O O O O O O O O O O O O O O O O O
